"\"\"2\"\" or \"\"3\"\" above. However",234402.0
"and one year of medical practice in an administrative or supervisory capacity.\"",225217.0
commercial,224749.0
at least 18 months of which must have been in an administrative,224749.0
"The Deputy Commissioner position requires excellent leadership, communication and client service skills as well as a passion for driving innovation, continuous improvement and efficiency, and implementing workforce strategies to recruit, develop and retain the most qualified and diverse talent in a customer service environment. The selected candidate will be expected to work closely with Agency and oversight counterparts and must have excellent management skills focused on staff alignment with the Bureauâ€™s vision, goals and career development. In addition, he/she must be an effective team player, capable of sustaining a culture of excellence in the delivery of customer service to internal partners and possess the ability to establish and maintain effective external partnerships and collaboration.   Specifically, the following skills and abilities are required to be successful in this role:    â€¢	7-10 years relevant work experience leading customer focused functions, of which at least 3 years must have been in a senior leadership position â€¢	BA/BS degree; MBA/advanced degree preferred â€¢	Strong analytical skills, with ability to interpret data and trends, diagnose problems, and implement action plans to resolve issues â€¢	Outstanding written and oral communication skills â€¢	Comfort in managing concurrent projects in a fast-paced, results-driven environment with equal enthusiasm for high-level strategic planning and tactical daily execution â€¢	In-depth knowledge of Federal, City and State governmental rules and regulations related to the position; NYC experience is a plus. â€¢	Proficiency in Microsoft Office Suite",218587.0
"Candidate must have six years of full-time paid experience in architecture, designing and participating in the delivery of complex design and construction projects, at least two years of which shall have been as manager of a major business unit, within a multi-divisional Architecture & Engineering organization (public or private). Familiarity with Local Laws pertaining to Green Building/LEED standards and requirements is required; LEED AP certification is preferred. Experience with Integrated Project Delivery (IPD) and Building Information Modeling (BIM) is a plus.",217244.0
all candidates must have the 3 years of administrative,209585.0
"â€¢	10+ years of work experience in technology and software engineering, with at least 3 years of managing a technical team of four (4) or more people; â€¢	10+ years of demonstrated experience working in an agile, iterative development process and employing tools such as GIT/Azure DevOps, CircleCI, Docker, Ansible; â€¢	Experience as a technical manager with fluency in modern software development and the ability to make sound high-level technical decisions; â€¢	Versatile technologist who can collaborate and communicate with technology, business teams and upper management while engaging the broader technology communities; â€¢	Passionate about learning new technologies and sharing the latest best practices; â€¢	Experience in at least three disciplines supporting application development/integration: product management, software engineering, devops, technical architecture, digital services;  â€¢	Inspiring ability to unleash the creativity in others; â€¢	Familiar with a wide array of development frameworks such as Ember.JS, ASP.NET, Node.JS, and relational databases including Microsoft SQL Server, PostgreSQL, MySQL, MongoDB, etc.; â€¢	Deep understanding of cloud architectures and patterns on Azure, AWS and/or Google; â€¢	Excellent interpersonal skills and a collaborative management style; â€¢	Demonstrated ability to problem-solve and resolve conflict; and â€¢	Understanding of the Cityâ€™s technical environment and policies.",208826.0
"â€¢ Integrity â€“ imbue the Authority with strong ethical principles  â€¢ Superb Communication â€“ ability to communicate expertly and clearly, both written and verbal, to a wide range of stakeholders. â€¢ Partnership and Collaboration - establish a strong network of relationships among peer leaders across other City, State and Federal agencies and government and external stakeholders. â€¢ Creative Problem Solving â€“ develop innovative and impactful solutions that help address operation needs. â€¢ Strategy and Vision â€“ Identify trends, project consequences, and plan accordingly. â€¢ Goal and Outcomes Oriented â€“ demonstrated ability to make timely and sound decisions; establish priorities and successfully carry out multiple assignments, meeting critical deadlines and timeframes.",202744.0
journalism,202744.0
"Extensive experience in wastewater operations is preferred but not required. The ideal candidate will also demonstrate competency in managing technical operations, including large numbers of engineering and other technical staff. A New York State grade 4A Wastewater Treatment Plant Operator Certificate is desirable.",198518.0
"â€¢	Managerial training and/or extensive managerial experience, including conflict resolution  â€¢	Excellent oral and written communication skills towards a technical and non-technical audience  â€¢	Comfortable working with developing staff as well as Agency Senior Staff  â€¢	Knowledge of City, State and Federal environmental requirements for water, wastewater and hazardous materials  â€¢	Experience delivering large complex projects requiring expert engineering/construction background  â€¢	Experience leading staff to achieve objectives under difficult conditions",194395.0
"â€¢ Expert knowledge of the operation of large municipal water and/or sewer systems  â€¢ 10 or more years of Construction or related experience.  â€¢ Minimum 5 years supervising engineers and inspectors.  â€¢ Excellent knowledge of capital and expense budget procedures  â€¢ Strong analytical aptitude with the ability to evaluate and handle multiple projects and priorities.  â€¢ Proficiency in Microsoft Office programs including Excel, Word, Outlook and Project.  â€¢ Ability to be on call 24/7  License Requirements Possess and maintain a valid New York State PE and driverâ€™s license.",194395.0
including making recommendations to General Counsel concerning steps to take and decision making concerning civil litigation.    3.  Interface with NYC sister agencies and City Hall concerning intra-agency projects.  4.  Spearhead affirmative litigation and as point of contact with outside counsel.  5.  Conduct civil trials including class-actions,194395.0
managerial,194395.0
Certification/license: Project Management Professional (PMP) Certification Lean six sigma  Working Instruments: Must be able to use and navigate a laptop and desktop computer to perform tasks that include accessing and manipulating large data sets.  Health and Safety/Working Conditions: Environment and Physical: 1.	Work in high volume office. 2.	Be able to sit for prolonged periods of time.,192152.0
all candidates must have a baccalaureate degree as described above and at least two years of full-time paid experience as described above,192152.0
"\"\"b\"\" and \"\"c\"\" above. However",192152.0
"Required Skills: â€¢	In depth knowledge of project management, capital project delivery, planning, engineering, contracting, procurement, and asset management principles.   â€¢	Experience in leading and directing high-performance teams.   â€¢	High level functional technical knowledge and skill in a large organization, public utility, or large wastewater programs.  â€¢	Knowledge of whole systems analysis, process reengineering, process improvement, lean management philosophy, six sigma or other related continuous improvement processes.  â€¢	Strong organization and project management skills. Ability to manage multiple tasks and experience working and managing through complex systems.  â€¢	Advanced experience with budgeting, capital improvement programs, asset management, and customer service.  â€¢	Advanced knowledge of general management, personnel management, and supervisory techniques and principles.  â€¢	Ability to establish and maintain effective working relationships with federal, state, regional and local agencies, union leaders, community leaders and the general public.  â€¢	Strong written and verbal communication skills and experience with diverse workforce.",190000.0
Strongly Preferred Skills:  â€¢  A minimum of 15 years of satisfactory professional experience in a related field; â€¢  A minimum of 10 years supervising large teams in complex organizations; â€¢  A minimum of 10 years experience at large to mid-sized Public Housing Authorities;  â€¢  Keen knowledge of U. S. Department of Housing and Urban Development regulations.,187000.0
"â€¢	Minimum 10 years of full time Civil, Mechanical or Electrical Engineering experience with emphasis on engineering design and project management  â€¢	Excellent oral and written communication skills towards a technical and non-technical audience as well as managerial training and/or extensive managerial experience with the ability to develop staff, and resolving conflicts  â€¢	Excellent analytical skills to evaluate workload and productivity  â€¢	Comfortable working directly with engineering design teams as well as Agency Senior Staff  â€¢	Knowledge of City, State and Federal environmental requirements for water, wastewater, Combined Sewer Overflow (CSO)  â€¢	Experience delivering large complex projects requiring expert engineering/construction background  â€¢	Experience leading staff to achieve objectives under difficult conditions  â€¢	Candidate must possess a valid NYS Driverâ€™s License",186555.0
at least 18 months of which must have been in a managerial or administrative capacity,186555.0
"1.	Minimum 15 years of experience in planning, design and design services during construction for civil engineering site development projects.  2.	Bachelorâ€™s Degree in Civil Engineering is preferred.  3.	Excellent oral, written, and communication skills, ability to meet deadlines, and an ability to be flexible in assignment of work responsibilities.  4.	Experience with AutoCAD and Civil 3D software programs.  5.	Strong organizational and computer skills.  6.	Civil Engineering design as it relates to site development.  7.	Management and supervisory skills.  8.	Interpersonal and mentoring Skills.  9.	Technical Writing Skills.",186555.0
"Ten years of experience in managing engineering and construction contracts in the field of public infrastructure.  Knowledge of Cityâ€™s procurement and contracting process   Experience in mentoring and developing engineers and project managers in the areas of design, project management and construction management.  Essential Skills: Strong interpersonal and communication skills, capacity to organize and analyze data, track and staff multiple contracts for engineering design, construction and construction management, fluency in Microsoft Office Suite products.  Preferred Skills: Experience in green infrastructure stormwater management systems, excellent communication skills and leadership skills, ability to utilize GIs and AutoCAD.  ***PLEASE NOTE APPLICANTS MUST BE PERMANENT IN THE TITLE ADMINISTRATIVE ENGINEER IN ORDER TO BE CONSIDERED***",186555.0
including the 18 months of executive,185000.0
"The ideal candidate will have the following preferred skills for this position:  â€¢ Minimum of five (5) years of full-time paid relevant experience in boiler and combustion design, heat load calculations and draft calculations and experience and knowledge of other industrial equipment such as engines, generators, spray booths, dry cleaners. â€¢ Minimum of five (5) years of experience in managing engineering teams and highly complex engineering projects. â€¢ Strong interpersonal and communication skills, capacity to organize and analyze data, track and staff multiple contracts for engineering design, construction and construction management, fluency in Microsoft Office Suite products.",180000.0
"a baccalaureate degree with a major as described above is required of all candidates.\"",180000.0
"The preferred candidate should possess the following:  â€¢	Bachelorâ€™s degree in information systems management, computer science, or equivalent experience;6+ years of DevOps or similar production / platform engineering experience, 1-2 of which in a public cloud environment (AWS, Azure, GCP); â€¢	Excellent communications skills; â€¢	Expertise in Continuous Integration / Continuous Deployment workflows; â€¢	2+ years experience managing engineering teams; â€¢	Ability to achieve goals with minimal supervision; self-starter; â€¢	Outstanding collaboration, team building and problem-solving skills; â€¢	Experience in large enterprise security planning, design, configuration, installation, troubleshooting, integration, security performance monitoring, product maintenance, and security product configuration enhancements; â€¢	Security and cloud certifications a plus (CISSP, CCSP, Google Compute, AWS, Azure, etc.); â€¢	Knowledge of the following Google Compute Platform services or their Azure / AWS equivalents: GCP Networking, Dataflow, Bigquery, Cloud Pub/Sub; â€¢	Working knowledge of Hashicorpâ€™s Terraform Infrastructure as Code; â€¢	May be required to be on call outside normal business hours to accommodate a 24/7 operation.",180000.0
"â€¢	Experience managing IT departments that support state of the art technology, including client/server and LANs running PC based applications.  Proven success managing a diverse technical team of minicomputer, PC and support services (Quality Assurance, Help Desk; etc.) staff. â€¢	Excellent communication skills, proven ability to attract and retain technical staff and to encourage staff development. â€¢	Industry experience in a law enforcement-related organization. â€¢	Experience in project management methodologies and tools. â€¢	Demonstrated ability to conceptualize and implement multiple IT projects on schedule and within budget. â€¢	Ability to communicate with and understand the needs of non-technical internal and external clients. â€¢	Comprehension of business and technology trends; strong working knowledge of relevant computer applications. â€¢	General knowledge of professional IT services vendors. â€¢	Excellent written and verbal communication skills. â€¢	Knowledge of and/or experience working with the following:           -   Data security           -   Windows Operating Environment           -   Windows Server, MS SharePoint, and MS SQL           -   ASP or .NET application development           -   Wireless/mobile, voice and data network technologies           -   Ability to organize and strategically plan resource utilization, and establish development priorities â€¢	Familiarity with New York Cityâ€™s government structure and budget processes. â€¢	Strong interpersonal and communication skills and the ability to work effectively with a wide range of constituencies in a diverse community. â€¢	Ability to develop requests for and evaluate proposals in reference to leading-edge information services technology.  â€¢	Ability to quickly learn, understand and adapt to the Cityâ€™s various processes and policies which impact Information Technology environment and goals.",180000.0
"â€¢	A Baccalaureate degree from an accredited college, or equivalent; preferably a Masterâ€™s Degree in the fields of public administration, business management, environmental planning, or a related field. â€¢	A minimum of 10 years of full time satisfactory professional experience in the field of environmental health and safety. â€¢	Experience overseeing large teams of staff and vendors performing multiple different types of work at a fast pace.",180000.0
